month,product_id,active_clients,transaction_volume,arr,implementation_cost,support_cost,development_cost,gross_margin_rate,churn_risk,uptime_rate,backlog_defects,hipaa_incidents,sales_pipeline,net_revenue_retention
2025-06,HPA-001,31,690814,16908693.98,808375.86,523741.74,109273.14,0.738,0.141,0.9896,8,0,8602901.45,0.985
2025-07,HPA-001,30,479209,17707126.68,995515.35,330245.16,184943.53,0.744,0.116,0.9953,7,0,3845039.0,0.961
2025-08,HPA-001,34,629958,18426867.28,751391.35,217541.63,140076.72,0.744,0.083,0.9845,4,0,7878731.81,0.95
2025-09,HPA-001,34,527566,18917541.7,1224617.89,596621.52,139016.9,0.746,0.108,0.9951,4,1,4987457.64,0.956
2025-10,HPA-001,32,541784,19133227.09,504805.75,326967.05,105418.85,0.767,0.124,0.9883,10,0,7366865.14,0.956
2025-11,HPA-001,34,448726,19940771.96,880257.76,483676.92,167645.18,0.752,0.13,0.9911,9,1,9494347.45,0.996
2025-12,HPA-001,38,826817,20283812.17,500196.04,256989.15,116895.36,0.763,0.102,0.9727,4,0,5603554.95,0.955
2026-01,HPA-001,38,868567,20281040.37,976969.92,420734.21,140272.15,0.737,0.099,0.9742,4,0,10256267.61,0.98
2026-02,HPA-001,36,450499,20800293.98,889683.13,428349.56,187754.31,0.732,0.107,0.9845,11,0,10498744.84,0.942
2026-03,HPA-001,38,480799,21378235.8,870698.68,476551.08,123468.56,0.757,0.134,0.9931,5,0,10274169.61,0.978
2026-04,HPA-001,40,402140,21494952.46,970817.06,512377.57,150236.03,0.712,0.136,0.9796,7,0,10027180.4,0.992
2026-05,HPA-001,38,393705,21801567.02,479762.67,291476.88,115379.39,0.711,0.148,0.9952,5,0,6406025.46,0.957
2025-06,HPA-002,37,748522,18375699.47,755158.88,530138.84,139398.55,0.601,0.118,0.9731,12,0,7862960.42,0.977
2025-07,HPA-002,40,956684,19120054.79,1116289.13,488542.52,134777.11,0.627,0.129,0.9882,10,0,4836676.56,0.985
2025-08,HPA-002,38,837188,19638586.17,1106655.76,634600.2,151290.4,0.625,0.118,0.9932,6,1,4338343.56,1.011
2025-09,HPA-002,41,410712,20282295.98,506496.63,313670.83,125125.32,0.659,0.129,0.9936,6,0,4045925.57,0.96
2025-10,HPA-002,41,719808,20666538.89,763581.57,356487.81,173410.61,0.648,0.112,0.9791,0,0,10509933.1,0.961
2025-11,HPA-002,43,781332,21168789.09,1357317.81,724004.2,104456.45,0.641,0.108,0.9852,10,0,7561031.18,0.994
2025-12,HPA-002,47,746968,21323149.94,1749107.79,777573.12,147018.86,0.627,0.111,0.9887,9,0,6326353.97,0.998
2026-01,HPA-002,42,787092,21599980.88,954356.85,285111.01,187957.25,0.612,0.162,0.9806,7,0,9183533.7,0.989
2026-02,HPA-002,47,825733,22076630.83,1632664.52,353651.0,168760.94,0.633,0.114,0.9938,0,0,6113066.39,1.008
2026-03,HPA-002,44,413264,22857596.04,615672.55,459514.57,151615.71,0.624,0.126,0.9836,16,0,7494041.75,0.999
2026-04,HPA-002,45,694654,22671537.85,686634.51,317243.61,149569.61,0.637,0.117,0.9952,5,0,9696352.05,0.982
2026-05,HPA-002,48,628073,23224629.08,816222.36,820948.28,182347.02,0.598,0.151,0.9794,10,0,4817692.04,0.981
2025-06,HPA-003,15,152064,7494222.95,219480.77,94815.54,203570.9,0.561,0.166,0.9778,7,0,2521042.25,0.947
2025-07,HPA-003,17,280139,7947621.38,427043.17,221350.59,140258.02,0.564,0.14,0.9845,7,0,3232018.22,0.941
2025-08,HPA-003,18,190663,8398716.08,574069.03,230354.64,187975.96,0.538,0.135,0.9891,7,0,4129924.44,0.92
2025-09,HPA-003,20,460320,8860436.63,756633.07,363248.65,140733.21,0.554,0.13,0.9943,8,0,3296158.12,0.947
2025-10,HPA-003,17,199336,9199865.82,234658.08,168170.89,184943.49,0.575,0.188,0.9778,10,0,4259928.18,0.945
2025-11,HPA-003,18,303244,9542201.73,488354.58,142864.49,212354.32,0.574,0.165,0.9768,6,0,2859582.81,0.949
2025-12,HPA-003,20,432553,9693923.14,568998.35,160116.96,220105.23,0.584,0.159,0.9792,8,0,4480857.27,0.931
2026-01,HPA-003,19,190619,9886380.5,408885.49,121668.28,222896.14,0.58,0.18,0.982,2,0,2728569.86,0.901
2026-02,HPA-003,19,242412,10414090.46,246401.69,270455.61,200026.92,0.567,0.182,0.9781,8,0,3319138.86,0.901
2026-03,HPA-003,20,340022,10738785.53,321037.06,317745.25,153696.13,0.532,0.21,0.9881,4,0,2584136.86,0.899
